project_name,buyer_name,seller_name,package_type,equipment_types,component_types,component_count,lead_time_weeks,manufacturer,cost,answer_date
Park Tower Management Offices and Amenities,Structure Tone (NY),Gil Bar Inc (New York),"[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]",3,12,"[""Hitachi""]",22800,2025-02-21
JPMC - NOC4-NJ-CRAC Unit Replacement ,Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",4,20,"[""Above Air""]",317000,2025-02-21
Katherine's Restaurant,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]",12,12,"[""Florida Heat Pump""]",62004.31,2025-02-21
JPMC NOC4 - Awarded,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Cabinet Unit Heaters""]","[""Cabinet Unit Heaters"",""Unit Heaters""]",2,6,"[""Indeeco""]",1760,2025-02-21
JPMC NOC4 - Awarded,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",5,4,"[""Krueger""]",93300,2025-02-21
JPMC NOC4 - Awarded,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",13,6,"[""Twin City Fan""]",21270,2025-02-21
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Gil Bar Inc (New York),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",12,10,"[""Climate Master""]",57800,2025-02-21
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",5,20,"[""Above Air""]",227300,2025-02-21
OPEN AI - Package 1 and 1A,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",7,8,"[""Twin City Fan""]",16340,2025-02-20
Park Tower Management Offices and Amenities,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",20890,2025-02-20
MSIG ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]",1,12,"[""Plate Concepts""]",10120,2025-02-20
OPEN AI - Package 1 and 1A,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",24,5,"[""Krueger""]",61740,2025-02-20
Park Tower Management Offices and Amenities,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,4,"[""Twin City Fan""]",2630,2025-02-20
Park Tower Management Offices and Amenities,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,4,"[""Krueger""]",4010,2025-02-20
OPEN AI - Package 1 and 1A,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",10,5,"[""Krueger""]",33400,2025-02-20
Park Tower Management Offices and Amenities,Structure Tone (NY),Daikin Applied (New York),"[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]","[""Variable Refrigerant Flow Systems""]",3,5,"[""Daikin""]",29100,2025-02-20
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Unit Heaters""]","[""Electric Unit Heaters"",""Unit Heaters""]",1,5,"[""Indeeco""]",2130,2025-02-19
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,8,"[""Twin City Fan""]",27770,2025-02-19
Jane Street Capital - 3rd Floor Office Suite & Interview Rooms,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",1970,2025-02-19
MLS 2 Penn Plaza 14th & 15th ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Ductwork Specialties ""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Ductwork Specialties ""]",7,5,"[""Krueger""]",132700,2025-02-19
Jane Street Capital - 3rd Floor Office Suite & Interview Rooms,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,6,"[""Greenheck""]",2000,2025-02-18
OPEN AI - Package 1 and 1A,Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",24,6,"[""Titus/Price""]",0,2025-02-18
Canell Spears,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",1010,2025-02-14
OPEN AI - Package 1 and 1A,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",10,3,"[""Metalaire""]",77000,2025-02-12
OPEN AI - Package 1 and 1A,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",7,6,"[""Loren Cook""]",11700,2025-02-12
OPEN AI - Package 1 and 1A,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",24,5,"[""Metalaire""]",77000,2025-02-12
Canell Spears,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",2,8,"[""Trane""]",14000,2025-02-11
Canell Spears,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,4,"[""Krueger""]",6580,2025-02-11
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),Trane (Long Island City),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",2,8,"[""Trane""]",23050,2025-02-11
Canell Spears,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",28660,2025-02-11
Bank of America Springfield,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",2700,2025-02-10
Bank of America Springfield,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Radiant Heating Units""]","[""Radiant Heating Units""]","[""Radiant Heating Units""]",1,5,"[""Indeeco""]",1660,2025-02-10
Bank of America Springfield,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]",1,4,"[""Krueger""]",2920,2025-02-10
Canell Spears,Structure Tone (NY),Gil Bar Inc (New York),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",2,10,"[""Climate Master""]",11100,2025-02-10
JPMC NOC4 - Awarded,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",10,9,"[""Vertiv""]",367400,2025-02-10
Canell Spears,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",2,11,"[""Florida Heat Pump""]",9678.99,2025-02-06
Canell Spears,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,3,"[""Loren Cook""]",700,2025-02-06
Bank of America Springfield,Structure Tone (NY),Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",3,8,"[""Trane""]",74385,2025-02-05
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",4,21,"[""Above Air""]",268200,2025-02-05
Bank of America Springfield,Structure Tone (NY),Trane (Long Island City),"[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]",1,5,"[""Trane""]",2573,2025-02-05
Bank of America Springfield,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]",6,4,"[""Mitsubishi""]",22954,2025-02-05
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),Trane (Long Island City),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",5,10,"[""Trane""]",24000,2025-02-05
JPMC - NOC4-NJ-CRAC Unit Replacement ,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",4,9,"[""Vertiv""]",367400,2025-02-05
Bank of America: Retail Interior Renovations,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,4,"[""Twin City Fan""]",1140,2025-02-05
104CC - Princeton Longevity MRI Room Expansion,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Humidifiers""]","[""Humidifiers""]","[""Humidifiers""]",2,8,"[""Dri-Steem""]",13280,2025-02-05
"Haidilao - 2 Avery Street, Boston",Structure Tone (NY),Air Control Concepts,"[""Split System Air Conditioners""]","[""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]","[""Split System Air Conditioners"",""Variable Refrigerant Flow Systems""]",3,5,"[""LG Electronics""]",66000,2025-02-05
104CC - Princeton Longevity MRI Room Expansion,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,6,"[""Twin City Fan""]",2700,2025-02-05
104CC - Princeton Longevity MRI Room Expansion,Structure Tone (NY),Daikin Applied (New York),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",2,6,"[""Daikin""]",2500,2025-02-05
NYULH - New Grossing Lab AHU,LF Driscoll,CaptiveAire,"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]",1,3,"[""CaptiveAire""]",126635.88,2025-02-05
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),Gil Bar Inc (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",2,12,"[""Climate Master""]",11775,2025-02-05
"Haidilao - 2 Avery Street, Boston",Structure Tone (NY),Air Control Concepts,"[""Self-Contained Air Conditioners""]","[""Self-Contained Air Conditioners""]","[""Self-Contained Air Conditioners""]",4,12,"[""MagicAire""]",85000,2025-02-05
Bank of America Springfield,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",5,4,"[""Twin City Fan""]",7550,2025-02-05
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,6,"[""Twin City Fan""]",2560,2025-02-04
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",38900,2025-02-04
Sacred Heart University West Campus - East Building Fairfield Ct,Pavarini North East Construction Co LLC,Ascent,"[""Air-Cooled Centrifugal Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Centrifugal Water Chillers"",""Air-Cooled Scroll Water Chillers""]",5,20,"[""Quantech""]",893200,2025-02-04
"Haidilao - 2 Avery Street, Boston",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",13,4,"[""Twin City Fan""]",2028,2025-02-04
"Haidilao - 2 Avery Street, Boston",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Unit Heaters""]","[""Unit Heaters""]",3,4,"[""Indeeco""]",20349,2025-02-04
NYULH - New Grossing Lab AHU,LF Driscoll,ADE Systems Inc. (New York),"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]",1,26.2,"[""Cambridgeport Customs""]",240000,2025-02-04
People's Theatre Project (PTP) - GMP ITB,Shawmut Design and Construction,EJS,"[""Variable Refrigerant Flow Systems""]","[""Factory-Fabricated Air-Handling Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Indoor Units - Ductless""]","[""Factory-Fabricated Air-Handling Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Indoor Units - Ductless""]",46,20,"[""VRF: Lennox Powered by Samsung, DOAS/AHU: Klimor""]",330000,2025-02-04
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",4,9,"[""Vertiv""]",284500,2025-02-04
NYULH - New Grossing Lab AHU,LF Driscoll,EJS,"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]",1,24,"[""Haakon""]",155000,2025-02-04
NYULH - New Grossing Lab AHU,LF Driscoll,Gil Bar Inc (New York),"[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]","[""Indoor Central-Station Air-Handling Units""]",1,19,"[""Mammoth""]",224055,2025-02-04
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,4,"[""Krueger""]",40180,2025-02-04
Sacred Heart University West Campus - East Building Fairfield Ct,Pavarini North East Construction Co LLC,Daikin Applied (New York),"[""Air-Cooled Centrifugal Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Centrifugal Water Chillers"",""Air-Cooled Scroll Water Chillers""]",5,33,"[""Chillmaster""]",1800000,2025-02-04
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),ADE Systems Inc. (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,6,"[""Titus/Price""]",76285,2025-02-03
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,6,"[""Greenheck""]",1500,2025-02-03
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,8,"[""Titus/Price""]",90750,2025-02-03
"Haidilao - 2 Avery Street, Boston",Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",13,6,"[""Greenheck""]",3696,2025-02-03
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,6,"[""Greenheck""]",4150,2025-02-03
Nuveen - 730 Third Ave - Floors 13-15,Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,6,"[""Titus/Price""]",0,2025-02-03
JW Marriott Essex House - Emergency Generator,Structure Tone (NY),Cooper Electric,"[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]",1,61,"[""Kohler""]",598675,2025-01-31
Project Hank Retail - Shaver Hall,Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,8,"[""Titus/Price""]",0,2025-01-30
Project Hank Retail - Shaver Hall,Structure Tone (NY),ADE Systems Inc. (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,6,"[""Titus/Price""]",64000,2025-01-30
Project Hank Retail - Shaver Hall,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,8,"[""Greenheck""]",10500,2025-01-30
JW Marriott Essex House - Emergency Generator,Structure Tone (NY),H.O. Penn,"[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]",1,27,"[""Caterpillar""]",565426,2025-01-29
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,4,"[""Twin City Fan""]",5240,2025-01-29
Vornado- One Park Ave. 19th & 20th Fl. Whitebox,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",4,6,"[""Greenheck""]",11500,2025-01-29
"Annaly Capital - 1211 AOA , 41st Floor",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,4,"[""Krueger""]",34840,2025-01-29
JW Marriott Essex House - Emergency Generator,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",1,4,"[""Krueger""]",1840,2025-01-28
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",3,4,"[""Twin City Fan""]",3100,2025-01-28
BRG - 810 7th Ave - Floors 39-41 - Bid,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",3,8,[],70000,2025-01-28
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",2,8,"[""Trane""]",262000,2025-01-28
Bank of America: Retail Interior Renovations,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",3,4,"[""Mitsubishi""]",9192,2025-01-28
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Trane (Long Island City),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,5,"[""Trane""]",1,2025-01-28
(BGO) 313 Congress - 5th Floor Spec Suite,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]",18,8,"[""Trane""]",96053,2025-01-28
People's Theatre Project (PTP) - GMP ITB,Shawmut Design and Construction,Trane (Long Island City),"[""Variable Refrigerant Flow Systems""]","[""Factory-Fabricated Air-Handling Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Indoor Units - Ductless""]","[""Factory-Fabricated Air-Handling Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Indoor Units - Ductless""]",46,23,"[""Trane/Mitsubishi""]",505000,2025-01-28
Bulletin Building Food Hall,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,6,"[""Twin City Fan""]",1890,2025-01-28
Sacred Heart University West Campus - East Building Fairfield Ct,Pavarini North East Construction Co LLC,Gil Bar Inc (New York),"[""Air-Cooled Centrifugal Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Centrifugal Water Chillers"",""Air-Cooled Scroll Water Chillers""]",5,20,"[""York""]",622500,2025-01-28
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,4,"[""Krueger""]",17340,2025-01-28
JW Marriott Essex House - Emergency Generator,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,8,"[""Twin City Fan/ ABB VFD""]",2500,2025-01-28
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger/ Pottorff""]",30280,2025-01-28
Bulletin Building Food Hall,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,4,"[""Krueger""]",10370,2025-01-28
JW Marriott Essex House - Emergency Generator,Structure Tone (NY),Kinsley- Group,"[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]",1,30,"[""Rehlko""]",604600,2025-01-28
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",27230,2025-01-28
Project Hank Retail - Shaver Hall,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",1,8,"[""Trane""]",6000,2025-01-28
JW Marriott Essex House - Emergency Generator,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",460,2025-01-28
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,4,"[""Krueger""]",10250,2025-01-28
NYAC Solarium Project,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Indoor Central AHUs Modular"",""Split System Air Conditioners""]","[""Indoor Central AHUs Modular"",""Split System Air Conditioners""]",4,14,"[""Trane""]",70500,2025-01-28
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,6,"[""Greenheck""]",2530,2025-01-27
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),ADE Systems Inc. (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,0,"[""itus/ Price""]",0,2025-01-27
Project Hank Retail - Shaver Hall,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,4,"[""Krueger""]",41340,2025-01-27
Fidelity Investor Center - NYC - 320 Park Avenue - Relocation,Structure Tone (NY),ADE Systems Inc. (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,7,"[""Titus/Price""]",85560,2025-01-27
"Marsh & McLennan, 1166 AoA Re-stack - Floor 23",Structure Tone (NY),ADE Systems Inc. (New York),"[""Diffusers, Registers, and Grilles""]","[""Ductwork Specialties ""]","[""Diffusers, Registers, and Grilles"",""Ductwork Specialties ""]",1,3,"[""Titus/Price""]",46000,2025-01-27
Bank of America: Retail Interior Renovations,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,-3,"[""Loren Cook""]",2500,2025-01-27
Project Hank Retail - Shaver Hall,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,4,"[""Krueger""]",10640,2025-01-27
Uber - Suite A,Structure Tone (NY),ADE Systems Inc. (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,5,"[""Greenheck""]",980,2025-01-27
SSUH - Boiler and Chiller Plant Replacement (52100495es),LF Driscoll Healthcare,ADE Systems Inc. (New York),"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",1,26,"[""Cambridgeport Customs""]",900000,2025-01-27
Uber - Suite A,Structure Tone (NY),ADE Systems Inc. (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",1,8,"[""Titus/Price""]",8970,2025-01-27
People's Theatre Project (PTP) - GMP ITB,Shawmut Design and Construction,Gil Bar Inc (New York),"[""Variable Refrigerant Flow Systems""]","[""Factory-Fabricated Air-Handling Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Indoor Units - Ductless""]","[""Factory-Fabricated Air-Handling Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Indoor Units - Ductless""]",46,20,"[""Samsung and Aaon""]",383900,2025-01-27
